step,perf/throughput,critic/vf_loss,actor/pg_loss,perf/max_memory_allocated_gb,critic/rewards/mean,critic/rewards/max,critic/rewards/min,timing_s/start_profile,timing_s/generate_sequences,timing_s/generation_timing/max,timing_s/generation_timing/min,timing_s/generation_timing/topk_ratio,timing_s/gen,timing_s/reward,timing_s/old_log_prob,timing_s/values,timing_s/adv,timing_s/update_critic,timing_s/update_actor,timing_s/step,timing_s/stop_profile,timing_s/testing,timing_s/save_checkpoint
1,2717.265230,2.016743,-0.000440,32.831858,0.000000,0.000000,0.000000,0.000265,2.736764,2.746225,2.727304,0.500000,4.185339,0.034097,0.646223,1.259753,0.092012,2.331632,1.173795,9.751716,0.000055,,
2,2660.909172,1.485859,-0.004331,32.831858,0.007812,1.000000,0.000000,0.000051,2.696961,2.756084,2.637839,0.500000,4.657259,0.032825,0.361831,1.257368,0.060990,2.141484,1.078072,9.618893,0.000058,,
3,2604.370762,1.153106,-0.013629,33.163733,0.015625,1.000000,0.000000,0.000056,2.723679,2.774247,2.673110,0.500000,4.625595,0.038500,0.368331,1.503058,0.058712,2.203721,1.161638,10.003376,0.000061,,
4,2682.092645,0.716445,-0.009166,33.163733,0.007812,1.000000,0.000000,0.000059,2.745258,2.778370,2.712147,0.500000,4.790838,0.038051,0.365639,1.287334,0.085560,2.168786,1.117759,9.897496,0.000050,,
5,2430.667960,0.361411,-0.004765,33.163733,0.023438,1.000000,0.000000,0.000056,2.633856,2.666767,2.600946,0.500000,4.704620,0.043488,0.347642,1.509821,0.063803,2.203097,1.117323,10.033456,0.000051,,
6,2605.727222,0.297557,-0.002740,33.185483,0.023438,1.000000,0.000000,0.000051,2.855140,2.872292,2.837988,0.500000,4.905979,0.038665,0.372218,1.503586,0.059572,2.203865,1.163917,10.292136,0.000049,,
7,2520.996049,0.243927,-0.002465,33.185483,0.023438,1.000000,0.000000,0.000058,2.697011,2.730027,2.663994,0.500000,4.731463,0.037685,0.361369,1.508179,0.057952,2.218138,1.147285,10.106521,0.000049,,
8,2479.672477,0.196582,-0.000424,33.185483,0.023438,1.000000,0.000000,0.000060,2.762949,2.908573,2.617326,0.500000,4.945959,0.032662,0.358122,1.484803,0.058753,2.197898,1.139901,10.245305,0.000050,,
9,2549.433795,0.158779,0.001812,33.185483,0.007812,1.000000,0.000000,0.000073,2.782163,2.916578,2.647748,0.500000,4.772778,0.032398,0.345565,1.256224,0.086505,2.209358,1.131458,9.861798,0.000056,,
10,2566.173417,0.124955,0.001555,33.185483,0.031250,1.000000,0.000000,0.000081,2.715667,2.781243,2.650090,0.500000,4.762054,0.037548,0.367776,1.493650,0.058179,2.203638,1.153587,10.120516,0.000050,,
11,2571.941319,0.093968,0.001981,33.185483,0.000000,0.000000,0.000000,0.000056,2.758466,2.864820,2.652112,0.500000,4.788942,0.037242,0.352560,1.263146,0.086599,2.155341,1.089136,9.816320,0.000054,,
12,2587.540703,0.074653,0.003034,33.185483,0.015625,1.000000,0.000000,0.000054,2.696719,2.702625,2.690813,0.500000,4.628003,0.032660,0.378558,1.479834,0.058674,2.193783,1.137804,9.936462,0.000058,,
13,2567.050716,0.062000,-0.000159,33.185483,0.015625,1.000000,0.000000,0.000058,2.805987,2.927415,2.684559,0.500000,4.814601,0.032750,0.361185,1.485784,0.059803,2.197063,1.096672,10.075765,0.000053,,
14,2683.448170,0.051768,-0.001980,33.185483,0.039062,1.000000,0.000000,0.000056,2.715379,2.729310,2.701449,0.500000,4.604378,0.033040,0.353053,1.258507,0.060001,2.195511,1.093760,9.625302,0.000058,,
15,2603.913173,0.035592,-0.000836,33.185483,0.031250,1.000000,0.000000,0.000053,2.827088,2.947243,2.706933,0.500000,4.758194,0.033027,0.367531,1.481860,0.058920,2.203408,1.148177,10.078293,0.000059,,
16,2584.636369,0.044342,0.000291,33.219383,0.000000,0.000000,0.000000,0.000048,2.835830,2.860747,2.810912,0.500000,4.877280,0.033036,0.370323,1.501820,0.059122,2.204311,1.154167,10.226971,0.000049,,
17,2607.213373,0.033193,-0.004807,33.219383,0.031250,1.000000,0.000000,0.000065,2.843518,2.964556,2.722480,0.500000,4.828356,0.033008,0.370184,1.500457,0.058773,2.210457,1.156513,10.185204,0.000053,,
18,2560.532593,0.037048,-0.001818,33.219383,0.007812,1.000000,0.000000,0.000065,2.837258,2.937200,2.737315,0.500000,4.904161,0.033075,0.364057,1.488680,0.060366,2.204876,1.118843,10.200612,0.000053,,
19,2565.451446,0.022929,0.000779,33.219383,0.023438,1.000000,0.000000,0.000053,2.699021,2.757612,2.640430,0.500000,4.578676,0.037651,0.362285,1.506175,0.067354,2.246833,1.144834,9.988690,0.000058,,
20,2430.709519,0.037871,0.004267,33.219383,0.031250,1.000000,0.000000,0.000050,2.739219,2.773836,2.704602,0.500000,4.808487,0.033513,0.343819,1.480093,0.060299,2.195201,1.153779,10.102811,0.000055,21.739095,
21,2811.289049,0.014461,0.000357,33.219383,0.015625,1.000000,0.000000,0.000051,2.743212,2.745890,2.740534,0.500000,4.092997,0.034232,0.393874,1.485659,0.063505,2.199316,1.163792,9.461674,0.000054,,
22,2577.670617,0.026135,-0.003615,33.219383,0.015625,1.000000,0.000000,0.000057,2.686290,2.701382,2.671197,0.500000,4.559771,0.032476,0.349171,1.479826,0.059734,2.194526,1.132739,9.835236,0.000051,,
23,2618.309117,0.019538,-0.004838,33.219383,0.031250,1.000000,0.000000,0.000055,2.672551,2.716523,2.628578,0.500000,4.458480,0.035173,0.360739,1.492159,0.086559,2.163106,1.092323,9.715621,0.000070,,
24,2552.643100,0.015292,-0.003634,33.219383,0.054688,1.000000,0.000000,0.000063,2.647839,2.664891,2.630787,0.500000,4.492647,0.037468,0.347387,1.452459,0.058188,2.164594,1.122884,9.719729,0.000051,,
25,2387.337255,0.014915,-0.002826,33.219383,0.023438,1.000000,0.000000,0.000067,2.722970,2.798878,2.647062,0.500000,5.387367,0.037695,0.338675,1.234259,0.085015,2.167365,1.078060,10.371806,0.000056,,
26,2642.884522,0.009476,-0.001925,33.219383,0.031250,1.000000,0.000000,0.000069,2.712275,2.748326,2.676224,0.500000,4.780879,0.037618,0.359980,1.264033,0.085536,2.159107,1.092765,9.823547,0.000050,,
27,2597.152531,0.006790,-0.003624,33.219383,0.031250,1.000000,0.000000,0.000059,2.670629,2.692227,2.649031,0.500000,4.457440,0.032443,0.355272,1.450685,0.058957,2.195680,1.168302,9.745481,0.000049,,
28,2490.301638,0.009962,-0.002373,33.219383,0.015625,1.000000,0.000000,0.000058,2.758742,2.847553,2.669931,0.500000,4.688651,0.031706,0.353522,1.498029,0.057960,2.210269,1.140432,10.007422,0.000049,,
29,2616.481625,0.006863,-0.002061,33.219383,0.023438,1.000000,0.000000,0.000072,2.803295,2.873006,2.733583,0.500000,4.679586,0.032405,0.367825,1.500058,0.058919,2.204990,1.153210,10.024531,0.000056,,
30,2494.681492,0.011616,-0.003878,33.219383,0.015625,1.000000,0.000000,0.000054,2.654892,2.665293,2.644491,0.500000,4.651579,0.031869,0.347859,1.502176,0.058493,2.200865,1.124032,9.943754,0.000069,,
31,2487.258999,0.011257,-0.005673,33.219383,0.046875,1.000000,0.000000,0.000052,2.748868,2.865645,2.632091,0.500000,4.751022,0.031969,0.355455,1.497430,0.058063,2.204837,1.097894,10.024087,0.000048,,
32,2457.351002,0.006209,-0.001444,33.219383,0.039062,1.000000,0.000000,0.000053,2.749696,2.853246,2.646147,0.500000,4.784195,0.032546,0.348832,1.482738,0.060539,2.203650,1.120480,10.061648,0.000052,,
33,2590.018487,0.005281,-0.000725,33.219383,0.015625,1.000000,0.000000,0.000108,2.695886,2.727472,2.664301,0.500000,4.526795,0.037419,0.364608,1.497066,0.058838,2.203850,1.147023,9.880238,0.000061,,
34,2391.869920,0.006329,-0.002643,33.219383,0.046875,1.000000,0.000000,0.000067,2.680255,2.779706,2.580804,0.500000,4.603367,0.031534,0.340776,1.502560,0.057746,2.206342,1.101062,9.870729,0.000051,,
35,2254.857137,0.006492,-0.007038,33.219383,0.085938,1.000000,0.000000,0.000058,2.567081,2.623708,2.510454,0.500000,4.495280,0.030408,0.319043,1.486484,0.058815,2.188173,1.027350,9.632761,0.000058,,
36,2382.212009,0.005162,0.004728,33.219383,0.015625,1.000000,0.000000,0.000047,2.660705,2.873551,2.447858,0.500000,4.619624,0.036582,0.329708,1.502727,0.059075,2.206072,1.106866,9.905290,0.000071,,
37,2525.768815,0.005581,-0.002176,33.219383,0.078125,1.000000,0.000000,0.000043,2.715224,2.743467,2.686981,0.500000,4.618823,0.031895,0.349902,1.257814,0.085746,2.204747,1.122049,9.698037,0.000050,,
38,2329.679602,0.005468,-0.003979,33.219383,0.085938,1.000000,0.000000,0.000051,2.615829,2.721335,2.510323,0.500000,4.557429,0.030436,0.328549,1.486650,0.058765,2.194265,1.092234,9.775593,0.000056,,
39,2358.089325,0.003747,-0.004042,33.219383,0.054688,1.000000,0.000000,0.000051,2.644308,2.742352,2.546264,0.500000,4.525592,0.031093,0.333885,1.500973,0.058047,2.206449,1.096086,9.779104,0.000052,,
