step,perf/throughput,critic/vf_loss,actor/pg_loss,perf/max_memory_allocated_gb,critic/rewards/mean,critic/rewards/max,critic/rewards/min,timing_s/start_profile,timing_s/generate_sequences,timing_s/generation_timing/max,timing_s/generation_timing/min,timing_s/generation_timing/topk_ratio,timing_s/gen,timing_s/reward,timing_s/old_log_prob,timing_s/values,timing_s/adv,timing_s/update_critic,timing_s/update_actor,timing_s/step,timing_s/stop_profile,timing_s/testing,timing_s/save_checkpoint
1,1643.771674,0.768849,0.002650,31.441235,0.007812,1.000000,0.000000,0.000313,2.127839,2.238405,1.865866,0.250000,3.690542,0.037113,1.359844,0.643191,0.067904,1.261406,0.953007,8.035483,0.000080,,
2,1680.082706,0.577191,0.005129,31.441235,0.007812,1.000000,0.000000,0.000084,2.138183,2.169673,2.090868,0.250000,4.346351,0.032718,0.217093,0.762450,0.087875,1.196060,0.670215,7.331484,0.000055,,
3,1545.522936,1.160066,0.009251,31.441235,0.007812,1.000000,0.000000,0.000053,2.204588,2.234937,2.166200,0.250000,5.188835,0.032390,0.218593,0.774416,0.057383,1.192404,0.722164,8.204990,0.000051,,
4,1577.682572,0.498269,0.000856,31.441235,0.007812,1.000000,0.000000,0.000064,2.224518,2.319766,2.172468,0.250000,5.217192,0.037503,0.226243,0.653737,0.085126,1.205531,0.787005,8.242786,0.000084,,
5,1529.457470,0.197664,-0.002706,31.441235,0.007812,1.000000,0.000000,0.000050,2.181276,2.229592,2.135938,0.250000,4.926725,0.036937,0.231862,0.760989,0.085283,1.186946,0.668227,7.927648,0.000055,,
6,1738.329053,0.150446,0.000950,32.114573,0.023438,1.000000,0.000000,0.000064,2.256840,2.334756,2.152356,0.250000,4.868805,0.033792,0.245069,0.757377,0.057061,1.228958,0.735774,7.945130,0.000059,,
7,1620.990233,0.115182,0.004346,32.114573,0.000000,0.000000,0.000000,0.000053,2.208962,2.305596,2.100167,0.250000,4.840543,0.032642,0.215257,0.768204,0.057568,1.224383,0.690114,7.847210,0.000051,,
8,1704.665928,0.088238,-0.000346,32.114573,0.007812,1.000000,0.000000,0.000052,2.224313,2.287805,2.156715,0.250000,4.674608,0.033038,0.219399,0.753105,0.057344,1.201244,0.716035,7.673351,0.000057,,
9,1583.133277,0.064796,-0.003870,32.114573,0.015625,1.000000,0.000000,0.000069,2.210876,2.376468,2.087523,0.250000,5.128473,0.033054,0.214753,0.774189,0.056761,1.196969,0.706406,8.129290,0.000051,,
10,1700.015852,0.041986,0.003198,32.114573,0.007812,1.000000,0.000000,0.000060,2.208388,2.317685,2.147207,0.250000,4.639862,0.033164,0.235912,0.765769,0.057313,1.189120,0.714477,7.654193,0.000059,,
